"","t","s","mid","pmt","pg","subtype","hr","bank"
"5805",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 01","NB_BOI"
"5806",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 03","NB_BOI"
"5807",1,0,"zivame","NB","PAYU","notprovided","2020-02-14 09","NB_BOI"
"5808",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 13","NB_BOI"
"5809",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 01","NB_BOI"
"5810",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 07","NB_BOI"
"5811",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 16","NB_BOI"
"5812",5,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 15","NB_BOI"
"5813",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 02","NB_BOI"
"5814",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 16","NB_BOI"
"5815",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-13 10","NB_BOI"
"5816",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 13","NB_BOI"
"5817",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 05","NB_BOI"
"5818",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 04","NB_BOI"
"5819",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-12 11","NB_BOI"
"5820",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 08","NB_BOI"
"5821",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 11","NB_BOI"
"5822",5,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 06","NB_BOI"
"5823",4,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 16","NB_BOI"
"5824",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 03","NB_BOI"
"5825",10,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 13","NB_BOI"
"5826",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-14 10","NB_BOI"
"5827",4,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 16","NB_BOI"
"5828",3,0,"countrydelight","NB","PAYU","notprovided","2020-02-14 16","NB_BOI"
"5829",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 08","NB_BOI"
"5830",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 15","NB_BOI"
"5831",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 13","NB_BOI"
"5832",5,0,"fanfight","NB","PAYTM","notprovided","2020-02-12 21","NB_BOI"
"5833",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 20","NB_BOI"
"5834",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-13 07","NB_BOI"
"5835",1,0,"zivame","NB","PAYU","notprovided","2020-02-13 17","NB_BOI"
"5836",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 19","NB_BOI"
"5837",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 11","NB_BOI"
"5838",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 07","NB_BOI"
"5839",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 15","NB_BOI"
"5840",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 05","NB_BOI"
"5841",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 05","NB_BOI"
"5842",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 18","NB_BOI"
"5843",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 02","NB_BOI"
"5844",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 06","NB_BOI"
"5845",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 07","NB_BOI"
"5846",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-12 14","NB_BOI"
"5847",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 13","NB_BOI"
"5848",4,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 08","NB_BOI"
"5849",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-13 17","NB_BOI"
"5850",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-13 06","NB_BOI"
"5851",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 10","NB_BOI"
"5852",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 09","NB_BOI"
"5853",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-12 03","NB_BOI"
"5854",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-13 14","NB_BOI"
"5855",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-13 16","NB_BOI"
"5856",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 19","NB_BOI"
"5857",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 16","NB_BOI"
"5858",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 10","NB_PNB"
"5859",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 08","NB_PNB"
"5860",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 14","NB_PNB"
"5861",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 12","NB_PNB"
"5862",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 18","NB_PNB"
"5863",2,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 15","NB_PNB"
"5864",16,1,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 13","NB_PNB"
"5865",2,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 05","NB_PNB"
"5866",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 02","NB_PNB"
"5867",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 12","NB_PNB"
"5868",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 08","NB_PNB"
"5869",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 20","NB_PNB"
"5870",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 12","NB_PNB"
"5871",1,0,"zivame","NB","PAYU","notprovided","2020-02-12 06","NB_PNB"
"5872",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 03","NB_PNB"
"5873",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 20","NB_PNB"
"5874",2,1,"countrydelight","NB","PAYU","notprovided","2020-02-12 05","NB_PNB"
"5875",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 12","NB_PNB"
"5876",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 14","NB_PNB"
"5877",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 16","NB_PNB"
"5878",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 03","NB_PNB"
"5879",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 12","NB_PNB"
"5880",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 14","NB_PNB"
"5881",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 09","NB_PNB"
"5882",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 12","NB_PNB"
"5883",2,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 09","NB_PNB"
"5884",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 05","NB_PNB"
"5885",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-12 04","NB_PNB"
"5886",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 14","NB_PNB"
"5887",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 18","NB_PNB"
"5888",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 03","NB_PNB"
"5889",2,2,"countrydelight","NB","PAYU","notprovided","2020-02-13 13","NB_PNB"
"5890",2,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 14","NB_PNB"
"5891",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 09","NB_PNB"
"5892",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 14","NB_PNB"
"5893",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 14","NB_PNB"
"5894",2,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 17","NB_PNB"
"5895",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 09","NB_PNB"
"5896",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 16","NB_PNB"
"5897",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-13 16","NB_PNB"
"5898",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-13 03","NB_PNB"
"5899",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 17","NB_PNB"
"5900",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 20","NB_PNB"
"5901",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 18","NB_PNB"
"5902",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 03","NB_PNB"
"5903",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 17","NB_PNB"
"5904",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 23","NB_PNB"
"5905",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 02","NB_PNB"
"5906",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-14 12","NB_PNB"
"5907",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 07","NB_PNB"
"5908",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 05","NB_PNB"
"5909",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 02","NB_PNB"
"5910",4,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 10","NB_PNB"
"5911",6,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 01","NB_PNB"
"5912",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 15","NB_PNB"
"5913",4,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 14","NB_PNB"
"5914",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-14 03","NB_PNB"
"5915",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 05","NB_PNB"
"5916",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 03","NB_PNB"
"5917",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 15","NB_PNB"
"5918",1,1,"zivame","NB","RAZORPAY","notprovided","2020-02-13 14","NB_PNB"
"5919",2,2,"zivame","NB","PAYU","notprovided","2020-02-12 09","NB_PNB"
"5920",2,2,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 08","NB_PNB"
"5921",3,1,"countrydelight","NB","PAYU","notprovided","2020-02-12 06","NB_PNB"
"5922",1,1,"urbanclap","NB","PAYTM","notprovided","2020-02-12 14","NB_PNB"
"5923",2,2,"urbanclap","NB","PAYTM","notprovided","2020-02-13 05","NB_PNB"
"5924",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 12","NB_PNB"
"5925",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 17","NB_PNB"
"5926",2,1,"countrydelight","NB","PAYU","notprovided","2020-02-12 15","NB_PNB"
"5927",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 10","NB_PNB"
"5928",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 11","NB_PNB"
"5929",1,1,"zivame","NB","PAYU","notprovided","2020-02-13 07","NB_PNB"
"5930",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 14","NB_PNB"
"5931",2,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 04","NB_PNB"
"5932",4,1,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 15","NB_PNB"
"5933",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-14 08","NB_PNB"
"5934",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 08","NB_PNB"
"5935",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 23","NB_PNB"
"5936",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 05","NB_PNB"
"5937",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-13 08","NB_PNB"
"5938",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 06","NB_PNB"
"5939",1,1,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 06","NB_PNB"
"5940",1,1,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 04","NB_PNB"
"5941",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 15","NB_PNB"
"5942",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-13 07","NB_PNB"
"5943",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 04","NB_PNB"
"5944",1,1,"purplle.com","NB","PAYU","notprovided","2020-02-13 06","NB_PNB"
"5945",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 05","NB_PNB"
"5946",2,1,"countrydelight","NB","PAYU","notprovided","2020-02-14 04","NB_PNB"
"5947",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 11","NB_PNB"
"5948",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 10","NB_PNB"
"5949",4,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 15","NB_PNB"
"5950",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 19","NB_PNB"
"5951",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 02","NB_PNB"
"5952",4,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 06","NB_PNB"
"5953",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 02","NB_PNB"
"5954",2,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 16","NB_PNB"
"5955",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 10","NB_PNB"
"5956",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 11","NB_PNB"
"5957",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 03","NB_PNB"
"5958",2,0,"urbanclap","NB","PAYTM","notprovided","2020-02-14 03","NB_PNB"
"5959",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 08","NB_PNB"
"5960",2,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 12","NB_PNB"
"5961",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 09","NB_PNB"
"5962",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 08","NB_PNB"
"5963",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-13 08","NB_PNB"
"5964",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-13 04","NB_PNB"
"5965",2,1,"purplle.com","NB","PAYU","notprovided","2020-02-13 11","NB_PNB"
"5966",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 13","NB_PNB"
"5967",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 04","NB_PNB"
"5968",1,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 03","NB_PNB"
"5969",4,2,"countrydelight","NB","PAYU","notprovided","2020-02-14 17","NB_PNB"
"5970",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 01","NB_PNB"
"5971",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 20","NB_PNB"
"5972",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 08","NB_PNB"
"5973",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 11","NB_PNB"
"5974",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 19","NB_PNB"
"5975",1,0,"purplle.com","NB","PAYTM","notprovided","2020-02-12 07","NB_PNB"
"5976",3,2,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 04","NB_PNB"
"5977",1,0,"zivame","NB","RAZORPAY","notprovided","2020-02-12 07","NB_PNB"
"5978",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 10","NB_PNB"
"5979",3,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 11","NB_PNB"
"5980",2,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 17","NB_PNB"
"5981",3,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 15","NB_PNB"
"5982",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 17","NB_PNB"
"5983",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 16","NB_PNB"
"5984",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 07","NB_PNB"
"5985",5,0,"purplle.com","NB","PAYU","notprovided","2020-02-12 15","NB_PNB"
"5986",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 17","NB_PNB"
"5987",2,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 15","NB_PNB"
"5988",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 12","NB_PNB"
"5989",2,2,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 08","NB_PNB"
"5990",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 05","NB_PNB"
"5991",1,1,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 06","NB_PNB"
"5992",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 00","NB_PNB"
"5993",3,0,"zivame","NB","PAYU","notprovided","2020-02-13 14","NB_PNB"
"5994",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-13 14","NB_PNB"
"5995",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-12 12","NB_PNB"
"5996",1,0,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 07","NB_PNB"
"5997",1,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 13","NB_PNB"
"5998",1,1,"zivame","NB","PAYU","notprovided","2020-02-14 18","NB_PNB"
"5999",1,0,"purplle.com","NB","PAYU","notprovided","2020-02-14 12","NB_PNB"
"6000",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-13 01","NB_PNB"
"6001",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-13 06","NB_PNB"
"6002",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-13 15","NB_PNB"
"6003",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 09","NB_PNB"
"6004",2,1,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 01","NB_PNB"
"6005",1,0,"countrydelight","NB","PAYU","notprovided","2020-02-14 10","NB_PNB"
"6006",2,0,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 11","NB_PNB"
"6007",1,1,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 06","NB_PNB"
"6008",1,0,"urbanclap","NB","PAYTM","notprovided","2020-02-13 09","NB_PNB"
"6009",1,0,"zivame","NB","PAYU","notprovided","2020-02-13 13","NB_PNB"
"6010",1,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 10","NB_PNB"
"6011",2,0,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 04","NB_PNB"
"6012",1,1,"zivame","NB","PAYU","notprovided","2020-02-12 07","NB_PNB"
"6013",46,23,"urbanclap","NB","PAYTM","notprovided","2020-02-14 04","NB_SBI"
"6014",13,8,"urbanclap","NB","PAYTM","notprovided","2020-02-14 01","NB_SBI"
"6015",25,11,"urbanclap","NB","PAYTM","notprovided","2020-02-14 02","NB_SBI"
"6016",6,3,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 08","NB_SBI"
"6017",11,10,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 04","NB_SBI"
"6018",10,7,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 08","NB_SBI"
"6019",27,7,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 06","NB_SBI"
"6020",41,17,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 11","NB_SBI"
"6021",8,7,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 03","NB_SBI"
"6022",31,18,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 04","NB_SBI"
"6023",47,33,"urbanclap","NB","PAYTM","notprovided","2020-02-14 07","NB_SBI"
"6024",24,9,"urbanclap","NB","PAYTM","notprovided","2020-02-14 12","NB_SBI"
"6025",18,12,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 03","NB_SBI"
"6026",5,1,"countrydelight","NB","PAYU","notprovided","2020-02-14 09","NB_SBI"
"6027",8,3,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 02","NB_SBI"
"6028",16,13,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 10","NB_SBI"
"6029",8,2,"zivame","NB","PAYU","notprovided","2020-02-14 08","NB_SBI"
"6030",12,8,"zivame","NB","PAYU","notprovided","2020-02-14 13","NB_SBI"
"6031",24,17,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 05","NB_SBI"
"6032",6,1,"purplle.com","NB","PAYU","notprovided","2020-02-14 11","NB_SBI"
"6033",11,8,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 03","NB_SBI"
"6034",2,2,"zivame","NB","RAZORPAY","notprovided","2020-02-14 04","NB_SBI"
"6035",4,2,"countrydelight","NB","PAYU","notprovided","2020-02-14 07","NB_SBI"
"6036",4,4,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 20","NB_SBI"
"6037",61,21,"fanfight","NB","RAZORPAY","notprovided","2020-02-14 14","NB_SBI"
"6038",8,3,"purplle.com","NB","PAYU","notprovided","2020-02-14 15","NB_SBI"
"6039",14,7,"urbanclap","NB","PAYTM","notprovided","2020-02-14 18","NB_SBI"
"6040",10,7,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 14","NB_SBI"
"6041",9,5,"countrydelight","NB","PAYU","notprovided","2020-02-14 14","NB_SBI"
"6042",7,4,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 13","NB_SBI"
"6043",4,3,"zivame","NB","RAZORPAY","notprovided","2020-02-14 16","NB_SBI"
"6044",16,11,"zivame","NB","PAYU","notprovided","2020-02-14 11","NB_SBI"
"6045",15,10,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 07","NB_SBI"
"6046",28,17,"urbanclap","NB","PAYTM","notprovided","2020-02-14 09","NB_SBI"
"6047",8,5,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 05","NB_SBI"
"6048",1,1,"countrydelight","NB","PAYU","notprovided","2020-02-14 03","NB_SBI"
"6049",7,7,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 04","NB_SBI"
"6050",11,6,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 09","NB_SBI"
"6051",2,2,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 01","NB_SBI"
"6052",12,4,"countrydelight","NB","PAYU","notprovided","2020-02-14 17","NB_SBI"
"6053",5,3,"pharmeasytech","NB","PAYTM","notprovided","2020-02-14 16","NB_SBI"
"6054",8,7,"countrydelight","NB","PAYU","notprovided","2020-02-14 16","NB_SBI"
"6055",19,4,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 03","NB_SBI"
"6056",42,30,"urbanclap","NB","PAYTM","notprovided","2020-02-12 08","NB_SBI"
"6057",16,12,"countrydelight","NB","PAYU","notprovided","2020-02-12 06","NB_SBI"
"6058",37,14,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 05","NB_SBI"
"6059",12,8,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 11","NB_SBI"
"6060",6,4,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 02","NB_SBI"
"6061",3,0,"drivezy","NB","GOCASHFREE","notprovided","2020-02-12 09","NB_SBI"
"6062",23,14,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 08","NB_SBI"
"6063",31,21,"urbanclap","NB","PAYTM","notprovided","2020-02-12 05","NB_SBI"
"6064",7,6,"zivame","NB","PAYU","notprovided","2020-02-12 03","NB_SBI"
"6065",39,11,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 13","NB_SBI"
"6066",14,10,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 03","NB_SBI"
"6067",7,4,"purplle.com","NB","PAYU","notprovided","2020-02-12 04","NB_SBI"
"6068",27,9,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 07","NB_SBI"
"6069",11,8,"zivame","NB","PAYU","notprovided","2020-02-12 06","NB_SBI"
"6070",31,18,"urbanclap","NB","PAYTM","notprovided","2020-02-12 04","NB_SBI"
"6071",12,6,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 09","NB_SBI"
"6072",35,21,"urbanclap","NB","PAYTM","notprovided","2020-02-12 11","NB_SBI"
"6073",28,9,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 02","NB_SBI"
"6074",3,2,"countrydelight","NB","PAYU","notprovided","2020-02-12 11","NB_SBI"
"6075",15,12,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 08","NB_SBI"
"6076",25,14,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 03","NB_SBI"
"6077",26,11,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 11","NB_SBI"
"6078",7,7,"pharmeasytech","NB","PAYU","notprovided","2020-02-12 04","NB_SBI"
"6079",7,4,"urbanclap","NB","PAYTM","notprovided","2020-02-12 20","NB_SBI"
"6080",7,5,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 17","NB_SBI"
"6081",6,3,"pharmeasytech","NB","PAYTM","notprovided","2020-02-12 17","NB_SBI"
"6082",5,2,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 22","NB_SBI"
"6083",22,12,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-12 15","NB_SBI"
"6084",8,7,"countrydelight","NB","PAYU","notprovided","2020-02-12 15","NB_SBI"
"6085",41,27,"urbanclap","NB","PAYTM","notprovided","2020-02-12 14","NB_SBI"
"6086",18,2,"fanfight","NB","RAZORPAY","notprovided","2020-02-12 16","NB_SBI"
"6087",20,5,"urbanclap","NB","PAYTM","notprovided","2020-02-12 17","NB_SBI"
"6088",22,10,"purplle.com","NB","PAYU","notprovided","2020-02-12 16","NB_SBI"
"6089",3,1,"zivame","NB","RAZORPAY","notprovided","2020-02-14 05","NB_SBI"
"6090",6,6,"countrydelight","NB","PAYU","notprovided","2020-02-14 01","NB_SBI"
"6091",1,1,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 00","NB_SBI"
"6092",6,2,"zivame","NB","PAYU","notprovided","2020-02-14 07","NB_SBI"
"6093",4,1,"drivezy","NB","GOCASHFREE","notprovided","2020-02-14 15","NB_SBI"
"6094",3,3,"pharmeasytech","NB","PAYU","notprovided","2020-02-14 16","NB_SBI"
"6095",6,2,"purplle.com","NB","PAYU","notprovided","2020-02-14 13","NB_SBI"
"6096",9,1,"urbanclap","NB","PAYTM","notprovided","2020-02-14 00","NB_SBI"
"6097",10,4,"zivame","NB","PAYU","notprovided","2020-02-14 12","NB_SBI"
"6098",5,3,"urbanclap","NB","PAYTM","notprovided","2020-02-14 21","NB_SBI"
"6099",1,1,"zivame","NB","RAZORPAY","notprovided","2020-02-14 08","NB_SBI"
"6100",4,2,"urbanclap","NB","PAYTM","notprovided","2020-02-14 19","NB_SBI"
"6101",4,2,"medlife_prod","NB","RAZORPAY","notprovided","2020-02-14 13","NB_SBI"
"6102",4,2,"drivezy","NB","GOCASHFREE","notprovided","2020-02-13 02","NB_SBI"
"6103",35,26,"urbanclap","NB","PAYTM","notprovided","2020-02-13 09","NB_SBI"
"6104",33,21,"urbanclap","NB","PAYTM","notprovided","2020-02-13 12","NB_SBI"
